key,value,date,stage
Hindbrain,12.707503,1,E11.5
Hindbrain,15.419060,2,E13.5
Hindbrain,20.781824,3,E15.5
Hindbrain,24.107166,4,E18.5
Hindbrain,43.905710,5,P4
Hindbrain,79.882584,6,P14
Hindbrain,94.070114,7,P28
Hindbrain,108.351204,8,P56
Hindbrain,108.351204,9,P56
Midbrain,3.941468,1,E11.5
Midbrain,9.833168,2,E13.5
Midbrain,14.94337,3,E15.5
Midbrain,14.94337,4,E18.5
Midbrain,24.332027,5,P4
Midbrain,33.802212,6,P14
Midbrain,36.056797,7,P28
Midbrain,36.484882,8,P56
Midbrain,36.484882,9,P56
Forebrain,10.688112,1,E11.5
Forebrain,25.457054,2,E13.5
Forebrain,34.144714,3,E15.5
Forebrain,45.845348,4,E18.5
Forebrain,95.954063,5,P4
Forebrain,163.604477,6,P14
Forebrain,186.679703,7,P28
Forebrain,204.746277,8,P56
Forebrain,204.746277,9,P56
Spinalcord,11.398843,1,E11.5
Spinalcord,26.248053,2,E13.5
Spinalcord,7.724108,3,E15.5
Spinalcord,7.724108,4,E18.5
Spinalcord,4.871338,5,P4
Spinalcord,3.146804,6,P14
Spinalcord,3.756525,7,P28
Spinalcord,1.047841,8,P56
Spinalcord,1.047841,9,P56